Ensembl Gene ID	Yeast Ensembl Gene ID	% Identity with respect to Yeast gene	Associated Gene Name	Description	Disease
ENSMUSG00000064081	YMR194W	42	Gm8973	"predicted gene 8973 [Source:MGI Symbol;Acc:MGI:3648534]"	
ENSMUSG00000044424	YOR096W	54	Gm9493	"predicted gene 9493 [Source:MGI Symbol;Acc:MGI:3779903]"	
ENSMUSG00000044424	YNL096C	51	Gm9493	"predicted gene 9493 [Source:MGI Symbol;Acc:MGI:3779903]"	
ENSMUSG00000030735	YOR187W	55	Gm9755	"predicted pseudogene 9755 [Source:MGI Symbol;Acc:MGI:3642279]"	
ENSMUSG00000049230	YCL011C	17	Gm9833	"predicted gene 9833 [Source:MGI Symbol;Acc:MGI:3641855]"	
ENSMUSG00000049230	YNL004W	17	Gm9833	"predicted gene 9833 [Source:MGI Symbol;Acc:MGI:3641855]"	
ENSMUSG00000020372	YMR116C	51	Gnb2l1	"guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1 [Source:MGI Symbol;Acc:MGI:101849]"	
ENSMUSG00000028869	YNR053C	53	Gnl2	"guanine nucleotide binding protein-like 2 (nucleolar) [Source:MGI Symbol;Acc:MGI:2385207]"	
ENSMUSG00000042354	YER006W	27	Gnl3	"guanine nucleotide binding protein-like 3 (nucleolar) [Source:MGI Symbol;Acc:MGI:1353651]"	
ENSMUSG00000025266	YER006W	25	Gnl3l	"guanine nucleotide binding protein-like 3 (nucleolar)-like [Source:MGI Symbol;Acc:MGI:2448557]"	
ENSMUSG00000031672	YLR027C	43	Got2	"glutamate oxaloacetate transaminase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:95792]"	
ENSMUSG00000075706	YBR244W	40	Gpx4	"glutathione peroxidase 4 [Source:MGI Symbol;Acc:MGI:104767]"	
ENSMUSG00000075706	YIR037W	40	Gpx4	"glutathione peroxidase 4 [Source:MGI Symbol;Acc:MGI:104767]"	
ENSMUSG00000075706	YKL026C	35	Gpx4	"glutathione peroxidase 4 [Source:MGI Symbol;Acc:MGI:104767]"	
ENSMUSG00000053801	YMR131C	31	Grwd1	"glutamate-rich WD repeat containing 1 [Source:MGI Symbol;Acc:MGI:2141989]"	
ENSMUSG00000062203	YDR172W	40	Gspt1	"G1 to S phase transition 1 [Source:MGI Symbol;Acc:MGI:1316728]"	
ENSMUSG00000071723	YDR172W	39	Gspt2	"G1 to S phase transition 2 [Source:MGI Symbol;Acc:MGI:1316727]"	
ENSMUSG00000040464	YHR168W	20	Gtpbp10	"GTP-binding protein 10 (putative) [Source:MGI Symbol;Acc:MGI:2385599]"	
ENSMUSG00000021149	YPL093W	46	Gtpbp4	"GTP binding protein 4 [Source:MGI Symbol;Acc:MGI:1916487]"	
ENSMUSG00000059447	YPL028W	32	Hadhb	"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit [Source:MGI Symbol;Acc:MGI:2136381]"	Trifunctional Protein Deficiency
ENSMUSG00000019143	YPR033C	40	Hars2	"histidyl-tRNA synthetase 2, mitochondrial (putative) [Source:MGI Symbol;Acc:MGI:1918041]"	
ENSMUSG00000019777	YNL330C	60	Hdac2	"histone deacetylase 2 [Source:MGI Symbol;Acc:MGI:1097691]"	
ENSMUSG00000034088	YJL080C	4	Hdlbp	"high density lipoprotein (HDL) binding protein [Source:MGI Symbol;Acc:MGI:99256]"	
ENSMUSG00000050244	YJL109C	23	Heatr1	"HEAT repeat containing 1 [Source:MGI Symbol;Acc:MGI:2442524]"	
ENSMUSG00000020721	YMR080C	15	Helz	"helicase with zinc finger domain [Source:MGI Symbol;Acc:MGI:1925705]"	
ENSMUSG00000027580	YMR080C	22	Helz2	"helicase with zinc finger 2, transcriptional coactivator [Source:MGI Symbol;Acc:MGI:2385169]"	
ENSMUSG00000000628	YCL040W	34	Hk2	"hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]"	
ENSMUSG00000000628	YFR053C	34	Hk2	"hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]"	
ENSMUSG00000000628	YDR516C	33	Hk2	"hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]"	
ENSMUSG00000000628	YGL253W	32	Hk2	"hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]"	
ENSMUSG00000002428	YLR032W	21	Hltf	"helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]"	
ENSMUSG00000030060	YMR114C	24	Hmces	"5-hydroxymethylcytosine (hmC) binding, ES cell specific [Source:MGI Symbol;Acc:MGI:1914053]"	
ENSMUSG00000007836	YOL123W	16	Hnrnpa0	"heterogeneous nuclear ribonucleoprotein A0 [Source:MGI Symbol;Acc:MGI:1924384]"	
ENSMUSG00000004980	YOL123W	18	Hnrnpa2b1	"heterogeneous nuclear ribonucleoprotein A2/B1 [Source:MGI Symbol;Acc:MGI:104819]"	
ENSMUSG00000020358	YOL123W	23	Hnrnpab	"heterogeneous nuclear ribonucleoprotein A/B [Source:MGI Symbol;Acc:MGI:1330294]"	
ENSMUSG00000000568	YOL123W	22	Hnrnpd	"heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]"	
ENSMUSG00000029328	YOL123W	21	Hnrnpdl	"heterogeneous nuclear ribonucleoprotein D-like [Source:MGI Symbol;Acc:MGI:1355299]"	
ENSMUSG00000021546	YBR233W	23	Hnrnpk	"heterogeneous nuclear ribonucleoprotein K [Source:MGI Symbol;Acc:MGI:99894]"	
ENSMUSG00000059208	YCL011C	22	Hnrnpm	"heterogeneous nuclear ribonucleoprotein M [Source:MGI Symbol;Acc:MGI:1926465]"	
ENSMUSG00000059208	YNL004W	20	Hnrnpm	"heterogeneous nuclear ribonucleoprotein M [Source:MGI Symbol;Acc:MGI:1926465]"	
ENSMUSG00000022323	YER057C	36	Hrsp12	"heat-responsive protein 12 [Source:MGI Symbol;Acc:MGI:1095401]"	
ENSMUSG00000022323	YIL051C	32	Hrsp12	"heat-responsive protein 12 [Source:MGI Symbol;Acc:MGI:1095401]"	
ENSMUSG00000021270	YPL240C	61	Hsp90aa1	"heat shock protein 90, alpha (cytosolic), class A member 1 [Source:MGI Symbol;Acc:MGI:96250]"	
ENSMUSG00000023944	YPL240C	63	Hsp90ab1	"heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]"	
ENSMUSG00000020048	YMR186W	46	Hsp90b1	"heat shock protein 90, beta (Grp94), member 1 [Source:MGI Symbol;Acc:MGI:98817]"	
ENSMUSG00000091971	YLL024C	72	Hspa1a	"heat shock protein 1A [Source:MGI Symbol;Acc:MGI:96244]"	
ENSMUSG00000090877	YLL024C	72	Hspa1b	"heat shock protein 1B [Source:MGI Symbol;Acc:MGI:99517]"	
ENSMUSG00000026864	YLL024C	64	Hspa5	"heat shock protein 5 [Source:MGI Symbol;Acc:MGI:95835]"	
ENSMUSG00000015656	YLL024C	76	Hspa8	"heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384]"	
ENSMUSG00000024359	YLL024C	50	Hspa9	"heat shock protein 9 [Source:MGI Symbol;Acc:MGI:96245]"	
ENSMUSG00000025980	YLR259C	55	Hspd1	"heat shock protein 1 (chaperonin) [Source:MGI Symbol;Acc:MGI:96242]"	"Spastic Paraplegia 13, Autosomal Dominant; SPG13"
ENSMUSG00000073676	YOR020C	42	Hspe1	"heat shock protein 1 (chaperonin 10) [Source:MGI Symbol;Acc:MGI:104680]"	
ENSMUSG00000067873	YNL286W	29	Htatsf1	"HIV TAT specific factor 1 [Source:MGI Symbol;Acc:MGI:1919709]"	
ENSMUSG00000049287	YJR122W	21	Iba57	"IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:3041174]"	
ENSMUSG00000032288	YHR148W	54	Imp3	"IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast) [Source:MGI Symbol;Acc:MGI:1916119]"	
ENSMUSG00000026127	YNL075W	53	Imp4	"IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast) [Source:MGI Symbol;Acc:MGI:106572]"	
ENSMUSG00000030662	YMR308C	28	Ipo5	"importin 5 [Source:MGI Symbol;Acc:MGI:1917822]"	
ENSMUSG00000048039	YOL080C	33	Isg20l2	"interferon stimulated exonuclease gene 20-like 2 [Source:MGI Symbol;Acc:MGI:2140076]"	
ENSMUSG00000030056	YJR050W	29	Isy1	"ISY1 splicing factor homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1923310]"	
ENSMUSG00000028790	YLR116W	14	Khdrbs1	"KH domain containing, RNA binding, signal transduction associated 1 [Source:MGI Symbol;Acc:MGI:893579]"	
ENSMUSG00000022332	YLR116W	13	Khdrbs3	"KH domain containing, RNA binding, signal transduction associated 3 [Source:MGI Symbol;Acc:MGI:1313312]"	
ENSMUSG00000001440	YLR347C	34	Kpnb1	"karyopherin (importin) beta 1 [Source:MGI Symbol;Acc:MGI:107532]"	
ENSMUSG00000035047	YNL308C	24	Kri1	"KRI1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2384899]"	
ENSMUSG00000063334	YCL059C	60	Krr1	"KRR1, small subunit (SSU) processome component, homolog (yeast) [Source:MGI Symbol;Acc:MGI:1289274]"	
ENSMUSG00000027968	YDL051W	24	Larp7	"La ribonucleoprotein domain family, member 7 [Source:MGI Symbol;Acc:MGI:107634]"	
ENSMUSG00000004880	YNL280C	40	Lbr	"lamin B receptor [Source:MGI Symbol;Acc:MGI:2138281]"	"Ichthyosis Vulgaris.Pelger-Huet Anomaly; PHA"
ENSMUSG00000029028	YLR060W	13	Lrrc47	"leucine rich repeat containing 47 [Source:MGI Symbol;Acc:MGI:1920196]"	
ENSMUSG00000022538	YGL099W	33	Lsg1	"large subunit GTPase 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:107236]"	
ENSMUSG00000037296	YJL124C	30	Lsm1	"LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914457]"	
ENSMUSG00000066568	YPR129W	29	Lsm14a	"LSM14 homolog A (SCD6, S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914320]"	
ENSMUSG00000039108	YPR129W	26	Lsm14b	"LSM14 homolog B (SCD6, S. cerevisiae) [Source:MGI Symbol;Acc:MGI:3040677]"	
ENSMUSG00000007050	YBL026W	62	Lsm2	"LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:90676]"	
ENSMUSG00000031848	YER112W	24	Lsm4	"LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1354692]"	
ENSMUSG00000031683	YPR182W	35	Lsm6	"LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1925901]"	
ENSMUSG00000015889	YNL045W	36	Lta4h	"leukotriene A4 hydrolase [Source:MGI Symbol;Acc:MGI:96836]"	
ENSMUSG00000024188	YDL087C	31	Luc7l	"Luc7 homolog (S. cerevisiae)-like [Source:MGI Symbol;Acc:MGI:1914228]"	
ENSMUSG00000029823	YDL087C	28	Luc7l2	"LUC7-like 2 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2183260]"	
ENSMUSG00000020863	YDL087C	25	Luc7l3	"LUC7-like 3 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914934]"	
ENSMUSG00000031578	YAL025C	42	Mak16	"MAK16 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915170]"	
ENSMUSG00000027479	YER016W	29	Mapre1	"microtubule-associated protein, RP/EB family, member 1 [Source:MGI Symbol;Acc:MGI:891995]"	
ENSMUSG00000019179	YKL085W	52	Mdh2	"malate dehydrogenase 2, NAD (mitochondrial) [Source:MGI Symbol;Acc:MGI:97050]"	
ENSMUSG00000058006	YLR106C	29	Mdn1	"midasin homolog (yeast) [Source:MGI Symbol;Acc:MGI:1926159]"	
ENSMUSG00000036112	YBL091C	53	Metap2	"methionine aminopeptidase 2 [Source:MGI Symbol;Acc:MGI:1929701]"	
ENSMUSG00000026377	YNL110C	22	Mki67ip	"Mki67 (FHA domain) interacting nucleolar phosphoprotein [Source:MGI Symbol;Acc:MGI:1915199]"	
ENSMUSG00000002227	YMR080C	16	Mov10	"Moloney leukemia virus 10 [Source:MGI Symbol;Acc:MGI:97054]"	
ENSMUSG00000030521	YJR002W	25	Mphosph10	"M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein) [Source:MGI Symbol;Acc:MGI:1915223]"	
ENSMUSG00000018405	YOR201C	20	Mrm1	"mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2443470]"	
ENSMUSG00000024902	YNL185C	39	Mrpl11	"mitochondrial ribosomal protein L11 [Source:MGI Symbol;Acc:MGI:2137215]"	
ENSMUSG00000022370	YOR150W	33	Mrpl13	"mitochondrial ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:2137218]"	
ENSMUSG00000033845	YNL284C	25	Mrpl15	"mitochondrial ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1351639]"	
ENSMUSG00000002767	YEL050C	22	Mrpl2	"mitochondrial ribosomal protein L2 [Source:MGI Symbol;Acc:MGI:1351622]"	
ENSMUSG00000024414	YNL005C	11	Mrpl27	"mitochondrial ribosomal protein L27 [Source:MGI Symbol;Acc:MGI:2137224]"	
ENSMUSG00000032563	YGR220C	35	Mrpl3	"mitochondrial ribosomal protein L3 [Source:MGI Symbol;Acc:MGI:2137204]"	
ENSMUSG00000022889	YIL078W	8	Mrpl39	"mitochondrial ribosomal protein L39 [Source:MGI Symbol;Acc:MGI:1351620]"	
ENSMUSG00000045948	YNR036C	41	Mrps12	"mitochondrial ribosomal protein S12 [Source:MGI Symbol;Acc:MGI:1346333]"	
ENSMUSG00000027374	YBR251W	22	Mrps5	"mitochondrial ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1924971]"	
ENSMUSG00000060679	YBR146W	28	Mrps9	"mitochondrial ribosomal protein S9 [Source:MGI Symbol;Acc:MGI:1916777]"	
ENSMUSG00000028741	YKL009W	37	Mrto4	"MRT4, mRNA turnover 4, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1917152]"	
ENSMUSG00000020459	YOL023W	33	Mtif2	"mitochondrial translational initiation factor 2 [Source:MGI Symbol;Acc:MGI:1924034]"	
ENSMUSG00000032342	YGL236C	46	Mto1	"mitochondrial translation optimization 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915541]"	
ENSMUSG00000027201	YCL011C	21	Myef2	"myelin basic protein expression factor 2, repressor [Source:MGI Symbol;Acc:MGI:104592]"	
ENSMUSG00000027201	YNL004W	20	Myef2	"myelin basic protein expression factor 2, repressor [Source:MGI Symbol;Acc:MGI:104592]"	
ENSMUSG00000022443	YHR023W	29	Myh9	"myosin, heavy polypeptide 9, non-muscle [Source:MGI Symbol;Acc:MGI:107717]"	"May-Hegglin Anomaly; MHA.Epstein Syndrome.Fechtner Syndrome; FTNS.Sebastian Syndrome; SBS.Elejalde Disease.Griscelli Syndrome, Type 1; GS1"
ENSMUSG00000034593	YOR326W	37	Myo5a	"myosin VA [Source:MGI Symbol;Acc:MGI:105976]"	
ENSMUSG00000034593	YAL029C	34	Myo5a	"myosin VA [Source:MGI Symbol;Acc:MGI:105976]"	
ENSMUSG00000063273	YDL040C	28	Naa15	"N(alpha)-acetyltransferase 15, NatA auxiliary subunit [Source:MGI Symbol;Acc:MGI:1922088]"	
ENSMUSG00000061315	YHR193C	36	Naca	"nascent polypeptide-associated complex alpha polypeptide [Source:MGI Symbol;Acc:MGI:106095]"	
ENSMUSG00000014907	YNL124W	18	Naf1	"nuclear assembly factor 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2682306]"	
ENSMUSG00000058799	YKR048C	31	Nap1l1	"nucleosome assembly protein 1-like 1 [Source:MGI Symbol;Acc:MGI:1855693]"	
ENSMUSG00000059119	YKR048C	30	Nap1l4	"nucleosome assembly protein 1-like 4 [Source:MGI Symbol;Acc:MGI:1316687]"	
ENSMUSG00000027185	YNL132W	55	Nat10	"N-acetyltransferase 10 [Source:MGI Symbol;Acc:MGI:2138939]"	
ENSMUSG00000028330	YMR125W	16	Ncbp1	"nuclear cap binding protein subunit 1 [Source:MGI Symbol;Acc:MGI:1891840]"	
ENSMUSG00000022774	YPL178W	36	Ncbp2	"nuclear cap binding protein subunit 2 [Source:MGI Symbol;Acc:MGI:1915342]"	
ENSMUSG00000026234	YGR159C	30	Ncl	"nucleolin [Source:MGI Symbol;Acc:MGI:97286]"	"Ceroid Lipofuscinosis, Neuronal, 5; CLN5"
ENSMUSG00000028423	YNL023C	25	Nfx1	"nuclear transcription factor, X-box binding 1 [Source:MGI Symbol;Acc:MGI:1921414]"	
ENSMUSG00000001056	YDL208W	44	Nhp2	"NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]"	
ENSMUSG00000063480	YEL026W	69	Nhp2l1	"NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:893586]"	
ENSMUSG00000031917	YPL211W	56	Nip7	"nuclear import 7 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913414]"	
ENSMUSG00000027787	YHR170W	42	Nmd3	"NMD3 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2140103]"	
ENSMUSG00000037601	YKL067W	58	Nme1	"NME/NM23 nucleoside diphosphate kinase 1 [Source:MGI Symbol;Acc:MGI:97355]"	
ENSMUSG00000020936	YLR195C	41	Nmt1	"N-myristoyltransferase 1 [Source:MGI Symbol;Acc:MGI:102579]"	
ENSMUSG00000024999	YLR002C	29	Noc3l	"nucleolar complex associated 3 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1932610]"	
ENSMUSG00000033294	YPR144C	28	Noc4l	"nucleolar complex associated 4 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2140843]"	
ENSMUSG00000061458	YGR145W	39	Nol10	"nucleolar protein 10 [Source:MGI Symbol;Acc:MGI:2684913]"	
ENSMUSG00000028430	YGR090W	22	Nol6	"nucleolar protein family 6 (RNA-associated) [Source:MGI Symbol;Acc:MGI:2140151]"	
ENSMUSG00000015176	YKR092C	34	Nolc1	"nucleolar and coiled-body phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:1918019]"	
ENSMUSG00000001569	YLR336C	20	Nom1	"nucleolar protein with MIF4G domain 1 [Source:MGI Symbol;Acc:MGI:1861749]"	
ENSMUSG00000036693	YDL148C	26	Nop14	"NOP14 nucleolar protein [Source:MGI Symbol;Acc:MGI:1922666]"	
ENSMUSG00000038279	YNL061W	46	Nop2	"NOP2 nucleolar protein [Source:MGI Symbol;Acc:MGI:107891]"	
ENSMUSG00000027405	YLR197W	51	Nop56	"NOP56 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1914384]"	
ENSMUSG00000026020	YOR310C	47	Nop58	"NOP58 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1933184]"	
ENSMUSG00000019297	YJL010C	18	Nop9	"NOP9 nucleolar protein [Source:MGI Symbol;Acc:MGI:1915092]"	
ENSMUSG00000021047	YBR233W	21	Nova1	"neuro-oncological ventral antigen 1 [Source:MGI Symbol;Acc:MGI:104297]"	
ENSMUSG00000030411	YBR233W	22	Nova2	"neuro-oncological ventral antigen 2 [Source:MGI Symbol;Acc:MGI:104296]"	
ENSMUSG00000060739	YER126C	62	Nsa2	"NSA2 ribosome biogenesis homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913883]"	
ENSMUSG00000021595	YBL024W	36	Nsun2	"NOL1/NOP2/Sun domain family member 2 [Source:MGI Symbol;Acc:MGI:107252]"	
ENSMUSG00000000916	YNL022C	27	Nsun5	"NOL1/NOP2/Sun domain family, member 5 [Source:MGI Symbol;Acc:MGI:2140844]"	
ENSMUSG00000026516	YLL034C	40	Nvl	"nuclear VCP-like [Source:MGI Symbol;Acc:MGI:1914709]"	
ENSMUSG00000027108	YBR025C	53	Ola1	"Obg-like ATPase 1 [Source:MGI Symbol;Acc:MGI:1914309]"	
ENSMUSG00000025364	YBL091C	18	Pa2g4	"proliferation-associated 2G4 [Source:MGI Symbol;Acc:MGI:894684]"	
ENSMUSG00000022194	YIR001C	21	Pabpn1	"poly(A) binding protein, nuclear 1 [Source:MGI Symbol;Acc:MGI:1859158]"	
ENSMUSG00000038683	YKL021C	22	Pak1ip1	"PAK1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1915333]"	
ENSMUSG00000036779	YOL115W	24	Papd5	"PAP associated domain containing 5 [Source:MGI Symbol;Acc:MGI:1917820]"	
ENSMUSG00000036779	YNL299W	20	Papd5	"PAP associated domain containing 5 [Source:MGI Symbol;Acc:MGI:1917820]"	
ENSMUSG00000044254	YCR045C	26	Pcsk9	"proprotein convertase subtilisin/kexin type 9 [Source:MGI Symbol;Acc:MGI:2140260]"	
ENSMUSG00000044254	YOR003W	24	Pcsk9	"proprotein convertase subtilisin/kexin type 9 [Source:MGI Symbol;Acc:MGI:2140260]"	
ENSMUSG00000044254	YEL060C	20	Pcsk9	"proprotein convertase subtilisin/kexin type 9 [Source:MGI Symbol;Acc:MGI:2140260]"	
ENSMUSG00000025047	YMR229C	25	Pdcd11	"programmed cell death 11 [Source:MGI Symbol;Acc:MGI:1341788]"	
ENSMUSG00000027248	YCL043C	28	Pdia3	"protein disulfide isomerase associated 3 [Source:MGI Symbol;Acc:MGI:95834]"	
ENSMUSG00000027248	YDR518W	25	Pdia3	"protein disulfide isomerase associated 3 [Source:MGI Symbol;Acc:MGI:95834]"	
ENSMUSG00000025823	YCL043C	30	Pdia4	"protein disulfide isomerase associated 4 [Source:MGI Symbol;Acc:MGI:104864]"	
ENSMUSG00000025823	YDR518W	26	Pdia4	"protein disulfide isomerase associated 4 [Source:MGI Symbol;Acc:MGI:104864]"	
ENSMUSG00000020571	YOR288C	28	Pdia6	"protein disulfide isomerase associated 6 [Source:MGI Symbol;Acc:MGI:1919103]"	
ENSMUSG00000028779	YGR058W	20	Pef1	"penta-EF hand domain containing 1 [Source:MGI Symbol;Acc:MGI:1915148]"	
ENSMUSG00000020430	YGR103W	38	Pes1	"pescadillo homolog 1, containing BRCT domain (zebrafish) [Source:MGI Symbol;Acc:MGI:1890613]"	
ENSMUSG00000061360	YPR094W	55	Phf5a	"PHD finger protein 5A [Source:MGI Symbol;Acc:MGI:2156864]"	
ENSMUSG00000032294	YAL038W	50	Pkm	"pyruvate kinase, muscle [Source:MGI Symbol;Acc:MGI:97591]"	
ENSMUSG00000032294	YOR347C	47	Pkm	"pyruvate kinase, muscle [Source:MGI Symbol;Acc:MGI:97591]"	
ENSMUSG00000004591	YBL105C	24	Pkn2	"protein kinase N2 [Source:MGI Symbol;Acc:MGI:109211]"	
ENSMUSG00000020116	YOR145C	45	Pno1	"partner of NOB1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913499]"	
ENSMUSG00000005198	YOR116C	32	Polr2a	"polymerase (RNA) II (DNA directed) polypeptide A [Source:MGI Symbol;Acc:MGI:98086]"	
ENSMUSG00000029250	YOR151C	56	Polr2b	"polymerase (RNA) II (DNA directed) polypeptide B [Source:MGI Symbol;Acc:MGI:2388280]"	
ENSMUSG00000020329	YFL036W	24	Polrmt	"polymerase (RNA) mitochondrial (DNA directed) [Source:MGI Symbol;Acc:MGI:1915843]"	
ENSMUSG00000004100	YHR066W	33	Ppan	"peter pan homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:2178445]"	
ENSMUSG00000004100	YDR312W	32	Ppan	"peter pan homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:2178445]"	
ENSMUSG00000032383	YHR057C	51	Ppib	"peptidylprolyl isomerase B [Source:MGI Symbol;Acc:MGI:97750]"	
ENSMUSG00000032383	YDR304C	49	Ppib	"peptidylprolyl isomerase B [Source:MGI Symbol;Acc:MGI:97750]"	
ENSMUSG00000028651	YDR155C	60	Ppie	"peptidylprolyl isomerase E (cyclophilin E) [Source:MGI Symbol;Acc:MGI:1917118]"	
ENSMUSG00000028651	YML078W	54	Ppie	"peptidylprolyl isomerase E (cyclophilin E) [Source:MGI Symbol;Acc:MGI:1917118]"	
ENSMUSG00000042133	YLR216C	34	Ppig	"peptidyl-prolyl isomerase G (cyclophilin G) [Source:MGI Symbol;Acc:MGI:2445173]"	
ENSMUSG00000015757	YHR057C	31	Ppil4	"peptidylprolyl isomerase (cyclophilin)-like 4 [Source:MGI Symbol;Acc:MGI:1914668]"	
ENSMUSG00000015757	YDR304C	28	Ppil4	"peptidylprolyl isomerase (cyclophilin)-like 4 [Source:MGI Symbol;Acc:MGI:1914668]"	
ENSMUSG00000004455	YER133W	84	Ppp1cc	"protein phosphatase 1, catalytic subunit, gamma isoform [Source:MGI Symbol;Acc:MGI:104872]"	
ENSMUSG00000028691	YML028W	59	Prdx1	"peroxiredoxin 1 [Source:MGI Symbol;Acc:MGI:99523]"	
ENSMUSG00000028691	YDR453C	58	Prdx1	"peroxiredoxin 1 [Source:MGI Symbol;Acc:MGI:99523]"	
ENSMUSG00000022672	YBR136W	15	Prkdc	"protein kinase, DNA activated, catalytic polypeptide [Source:MGI Symbol;Acc:MGI:104779]"	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Positive
ENSMUSG00000052429	YBR034C	46	Prmt1	"protein arginine N-methyltransferase 1 [Source:MGI Symbol;Acc:MGI:107846]"	
ENSMUSG00000015748	YDR473C	25	Prpf3	"PRP3 pre-mRNA processing factor 3 homolog (yeast) [Source:MGI Symbol;Acc:MGI:1918017]"	"Retinitis Pigmentosa 18; RP18"
ENSMUSG00000008373	YGR091W	24	Prpf31	"PRP31 pre-mRNA processing factor 31 homolog (yeast) [Source:MGI Symbol;Acc:MGI:1916238]"	"Retinitis Pigmentosa 11; RP11"
ENSMUSG00000061136	YKL012W	26	Prpf40a	"PRP40 pre-mRNA processing factor 40 homolog A (yeast) [Source:MGI Symbol;Acc:MGI:1860512]"	
ENSMUSG00000021413	YLL019C	18	Prpf4b	"PRP4 pre-mRNA processing factor 4 homolog B (yeast) [Source:MGI Symbol;Acc:MGI:109584]"	
ENSMUSG00000002455	YBR055C	29	Prpf6	"PRP6 pre-mRNA splicing factor 6 homolog (yeast) [Source:MGI Symbol;Acc:MGI:1922946]"	
ENSMUSG00000020850	YHR165C	60	Prpf8	"pre-mRNA processing factor 8 [Source:MGI Symbol;Acc:MGI:2179381]"	"Retinitis Pigmentosa 13; RP13"
ENSMUSG00000021178	YDL007W	72	Psmc1	"protease (prosome, macropain) 26S subunit, ATPase 1 [Source:MGI Symbol;Acc:MGI:106054]"	
ENSMUSG00000005625	YHR200W	47	Psmd4	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 [Source:MGI Symbol;Acc:MGI:1201670]"	
ENSMUSG00000053746	YHR189W	27	Ptrh1	"peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913779]"	
ENSMUSG00000002524	YOR319W	22	Puf60	"poly-U binding splicing factor 60 [Source:MGI Symbol;Acc:MGI:1915209]"	
ENSMUSG00000028580	YLL013C	30	Pum1	"pumilio 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1931749]"	
ENSMUSG00000020594	YLL013C	29	Pum2	"pumilio 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1931751]"	
